Longitude,Latitude,Source,Impact
-81.71993,35.65422,"NO,S2",NONE
-82.60814,35.44253,S2,NONE
-82.61262,35.47927,S2,NONE
-82.28645,35.92864,"MR,PL,S2",Building
-82.62501,35.25456,S2,NONE
-82.29822,35.82594,S2,UNCLEAR
-82.28954,35.80932,S2,UNCLEAR
-81.96172,35.68084,"NO,PL,S2",NONE
-81.95228,35.68206,"NO,PL,S2",NONE
-81.97200,35.69049,"NO,PL,S2",Other
-81.97638,35.68114,"PL,S2",UNCLEAR
-81.98568,35.66054,"PL,S2",River
-82.04499,35.65916,"PL,S2",Building
-82.04380,35.66069,"PL,S2",Road
-82.08456,35.64711,"PL,S2",NONE
-82.14344,35.67219,"PL,S2",River
-82.17488,35.66457,"PL,S2",NONE
-82.17371,35.66690,S2,NONE
-82.49371,35.65081,"NO,PC,UA",Road
-82.18316,35.70875,S2,River
-82.17562,35.71222,S2,NONE
-82.17478,35.71390,S2,NONE
-82.18883,35.70679,"PL,S2",NONE
-82.19162,35.71514,"PL,S2",Road
-82.19262,35.72050,"PL,S2",River
-82.19022,35.72274,"PL,S2",River
-82.19083,35.71540,"PL,S2",Road
-82.45737,35.65938,"PL,UA",Road
-82.46593,35.65527,UA,UNCLEAR
-82.16441,35.76979,"CAP,S2,UA",Road
-82.16722,35.76500,"CAP,S2,UA",Building
-82.43025,35.65814,"PL,S2,UA",NONE
-82.44747,35.63143,"PL,UA",Building
-82.16818,35.72391,"S2,UA",NONE
-82.44441,35.63571,"PL,UA",NONE
-82.15477,35.73379,"S2,UA",River
-82.15530,35.73303,"S2,UA",River
-82.12987,35.74884,UA,NONE
-82.12236,35.74989,"PL,S2",River
-82.13267,35.73731,S2,River
-82.13261,35.73620,S2,River
-82.14505,35.73704,UA,River
-82.15607,35.72676,UA,River
-82.52769,35.62130,UA,Road
-81.89978,36.11878,"PL,S2",Building
-82.21083,35.63409,"CAP,PL,S2",Other
-82.44177,35.64122,"PL,UA",UNCLEAR
-82.45200,35.63386,"PL,S2",NONE
-81.94379,36.28632,UA,Road
-82.39346,35.73707,S2,NONE
-82.39808,35.74721,S2,NONE
-82.39745,35.74902,S2,Building
-82.40669,35.74984,S2,UNCLEAR
-82.39251,35.74898,S2,UNCLEAR
-82.62261,36.05391,PL,NONE
-82.30804,35.83938,S2,UNCLEAR
-81.98006,36.30518,"S2,UA",Other
-82.41028,35.63139,CAP,Building
-82.24705,35.85289,"S2,UA",NONE
-82.28234,35.83554,S2,Road
-82.64532,36.05816,PL,NONE
-81.78858,36.19465,"S2,UA",Road
-82.51034,35.32083,S2,NONE
-82.50656,35.32007,S2,NONE
-82.51408,35.30433,S2,Road
-82.51369,35.30342,S2,Road
-82.46472,35.58361,"CAP,NO,UA",Various
-82.51800,35.30580,S2,NONE
-82.51736,35.30460,S2,NONE
-82.58487,36.04840,"PL,S2",NONE
-82.63248,36.03641,"PL,S2",NONE
-82.63191,36.03877,"PL,S2",NONE
-82.69340,36.01227,"PL,S2",NONE
-82.64138,35.99738,"PL,S2",UNCLEAR
-82.47047,35.56036,S2,NONE
-82.47226,35.44253,S2,Road
-82.49388,35.32896,S2,UNCLEAR
-82.48942,35.30595,S2,Road
-82.16032,35.71559,"PL,S2",NONE
-82.16374,35.71573,S2,NONE
-82.16230,35.71965,"PL,S2",NONE
-82.16357,35.72044,"PL,S2",NONE
-82.16321,35.72270,"PL,S2",NONE
-82.16263,35.72297,"PL,S2",NONE
-82.40934,35.55231,S2,UNCLEAR
-82.40979,35.54113,S2,UNCLEAR
-82.36672,35.55809,S2,UNCLEAR
-82.36285,35.55732,S2,UNCLEAR
-82.42811,35.46825,S2,UNCLEAR
-82.40672,35.69523,"S2,UA",NONE
-82.16010,35.72459,"PL,S2",NONE
-82.19339,35.72709,"PL,S2",Road
-82.18442,35.73274,"PL,S2",NONE
-82.18332,35.73301,"PL,S2",NONE
-82.10107,36.07718,"PL,S2",River
-82.17873,35.72737,"PL,S2",NONE
-82.17592,35.72641,"PL,S2",NONE
-82.18200,35.72475,"PL,S2",NONE
-82.17077,35.73192,"PL,S2",NONE
-82.16971,35.73222,"PL,S2",NONE
-82.17141,35.72855,"PL,S2",NONE
-82.35113,35.69315,"S2,UA",NONE
-82.16547,35.73494,"PL,S2",NONE
-82.16184,35.73907,"PL,S2",NONE
-82.15829,35.73793,"PL,S2",Road
-82.04708,36.09123,"S2,UA",River
-82.03396,36.09870,S2,River
-81.97111,36.13208,"NO,S2",NONE
-81.52355,36.20928,S2,Road
-83.04306,35.75389,"CAP,UA",Road
-81.63015,36.14176,"S2,UA",Building
-81.94295,36.14462,S2,Various
